choice_set,num_choices,num_default,cp
"[0,1]",204,199,0.975490196
"[0,2]",193,188,0.974093264
"[0,3]",218,210,0.963302752
"[0,4]",232,225,0.969827586
"[0,5]",227,214,0.942731278
"[0,6]",230,226,0.982608696
"[0,7]",221,212,0.959276018
"[0,8]",229,212,0.925764192
"[0,9]",201,18,0.089552239
"[0,10]",199,190,0.954773869
"[0,11]",194,20,0.103092784
"[0,12]",195,184,0.943589744
"[0,1,2]",209,203,0.971291866
"[0,1,3]",225,217,0.964444444
"[0,1,4]",185,175,0.945945946
"[0,1,5]",204,190,0.931372549
"[0,1,6]",208,199,0.956730769
"[0,1,7]",203,188,0.926108374
"[0,1,8]",225,203,0.902222222
"[0,1,9]",211,24,0.113744076
"[0,1,10]",218,215,0.986238532
"[0,1,11]",223,30,0.134529148
"[0,1,12]",235,219,0.931914894
"[0,2,3]",229,219,0.956331878
"[0,2,4]",213,202,0.948356808
"[0,2,5]",218,202,0.926605505
"[0,2,6]",215,208,0.96744186
"[0,2,7]",250,231,0.924
"[0,2,8]",193,178,0.922279793
"[0,2,9]",207,36,0.173913043
"[0,2,10]",192,185,0.963541667
"[0,2,11]",194,24,0.12371134
"[0,2,12]",192,182,0.947916667
"[0,3,4]",191,182,0.952879581
"[0,3,5]",218,203,0.931192661
"[0,3,6]",198,194,0.97979798
"[0,3,7]",205,192,0.936585366
"[0,3,8]",215,194,0.902325581
"[0,3,9]",207,44,0.212560386
"[0,3,10]",199,190,0.954773869
"[0,3,11]",200,38,0.19
"[0,3,12]",231,219,0.948051948
"[0,4,5]",219,190,0.867579909
"[0,4,6]",215,200,0.930232558
"[0,4,7]",213,191,0.896713615
"[0,4,8]",216,187,0.865740741
"[0,4,9]",193,35,0.18134715
"[0,4,10]",219,204,0.931506849
"[0,4,11]",210,28,0.133333333
"[0,4,12]",197,186,0.944162437
"[0,5,6]",224,200,0.892857143
"[0,5,7]",209,183,0.875598086
"[0,5,8]",210,186,0.885714286
"[0,5,9]",224,45,0.200892857
"[0,5,10]",199,189,0.949748744
"[0,5,11]",214,36,0.168224299
"[0,5,12]",213,199,0.9342723
"[0,6,7]",205,189,0.92195122
"[0,6,8]",200,178,0.89
"[0,6,9]",218,44,0.201834862
"[0,6,10]",209,204,0.976076555
"[0,6,11]",223,31,0.139013453
"[0,6,12]",221,210,0.950226244
"[0,7,8]",223,202,0.905829596
"[0,7,9]",206,36,0.174757282
"[0,7,10]",199,182,0.914572864
"[0,7,11]",205,30,0.146341463
"[0,7,12]",221,205,0.92760181
"[0,8,9]",226,32,0.14159292
"[0,8,10]",205,182,0.887804878
"[0,8,11]",222,33,0.148648649
"[0,8,12]",221,204,0.923076923
"[0,9,10]",192,31,0.161458333
"[0,9,11]",202,23,0.113861386
"[0,9,12]",223,42,0.188340807
"[0,10,11]",219,33,0.150684932
"[0,10,12]",193,187,0.968911917
"[0,11,12]",224,36,0.160714286
"[0,...,12]",1832,409,0.223253275